 ,1,[        ]
a,1,[1       ]
b,1,[12      ]
c,1,[1  4    ]
d,1,[1  45   ]
e,1,[1   5   ]
f,1,[12 4    ]
g,1,[12 45   ]
h,1,[12  5   ]
i,1,[ 2 4    ]
j,1,[ 2 45   ]
k,1,[1 3     ]
l,1,[123     ]
m,1,[1 34    ]
n,1,[1 345   ]
o,1,[1 3 5   ]
p,1,[1234    ]
q,1,[12345   ]
r,1,[123 5   ]
s,1,[ 234    ]
t,1,[ 2345   ]
u,1,[1 3  6  ]
v,1,[123  6  ]
w,1,[ 2 456  ]
x,1,[1 34 6  ]
y,1,[1 3456  ]
z,1,[1 3 56  ]
D,1,[12 4 6  ]
T,1,[ 234 6  ]
1,1,[1      8]
2,1,[12     8]
3,1,[1  4   8]
4,1,[1  45  8]
5,1,[1   5  8]
6,1,[12 4   8]
7,1,[12 45  8]
8,1,[12  5  8]
9,1,[ 2 4   8]
0,1,[ 2 45  8]
=,1,[123456  ]
#,1,[1  456  ]
(,1,[123 56  ]
),1,[ 23456  ]
[,1,[1234 6  ]
.,1,[  3     ]
<,1,[1   56  ]
>,1,[12   6  ]
/,1,[  34    ]
`,1,[   4 6  ]
%,1,[1  4 6  ]
\,1,[1    6  ]
{,1,[ 234 6  ]
?,1,[12  56  ]
|,1,[  345    ]
